X-axis,Y-axis
30.0,20.0
30.0,21.0
30.0,22.0
30.0,23.0
30.0,24.0
30.0,25.0
30.0,26.0
30.0,27.0
30.0,28.0
30.0,29.0
30.0,30.0
30.0,31.0
30.0,32.0
30.0,33.0
30.0,34.0
30.0,35.0
30.0,36.0
30.0,37.0
30.0,38.0
30.0,39.0
30.0,40.0
30.0,41.0
30.0,42.0
30.0,43.0
30.0,44.0
30.0,45.0
30.0,46.0
30.0,47.0
30.0,48.0
30.0,49.0
30.0,50.0
31.0,50.0
32.0,50.0
33.0,50.0
34.0,50.0
35.0,50.0
36.0,50.0
37.0,50.0
38.0,50.0
39.0,50.0
40.0,50.0
41.0,50.0
42.0,50.0
43.0,50.0
44.0,50.0
45.0,50.0
46.0,50.0
47.0,50.0
48.0,50.0
49.0,50.0
50.0,50.0
